GENRE_ID,NAME
1227,Music & Musicals
1228,Cult Movies
1229,Horror Movies
1230,Thrillers
1231,Action & Adventure
1232,Classic Movies
1233,Sci-Fi & Fantasy
1234,TV Action & Adventure
1235,TV Comedies
1236,Classic Movies
1237,Comedies
1238,Music & Musicals
1239,Independent Movies
1240,Documentaries
1241,Horror Movies
1242,Classic & Cult TV
1243,TV Horror
1244,TV Mysteries
1245,Comedies
1246,Faith & Spirituality
1247,International Movies
1248,Dramas
1249,Horror Movies
1250,Sci-Fi & Fantasy
1251,British TV Shows
1252,TV Dramas
1253,TV Sci-Fi & Fantasy
1254,Comedies
1255,Cult Movies
1256,Horror Movies
1257,Comedies
1258,Cult Movies
1259,Sports Movies
1260,Classic Movies
1261,Documentaries
1262,Action & Adventure
1263,Faith & Spirituality
1264,Sci-Fi & Fantasy
1265,Action & Adventure
1266,Children & Family Movies
1267,International TV Shows
1268,Reality TV
1269,TV Action & Adventure
1270,Docuseries
1271,Science & Nature TV
1272,TV Dramas
1273,Anime Features
1274,Action & Adventure
1275,Horror Movies
1276,Independent Movies
1277,Action & Adventure
1278,Classic Movies
1279,International Movies
1280,Cult Movies
1281,Independent Movies
1282,Thrillers
1283,Crime TV Shows
1284,TV Comedies
1285,Classic Movies
1286,Cult Movies
1287,Documentaries
1288,Classic & Cult TV
1289,Kids' TV
1290,TV Comedies
1291,Classic Movies
1292,Dramas
1293,LGBTQ Movies
1294,Classic Movies
1295,Dramas
1296,Sports Movies
1297,Action & Adventure
1298,Cult Movies
1299,Action & Adventure
1300,Comedies
1301,Music & Musicals
1302,Classic Movies
1303,Horror Movies
1304,Thrillers
1305,Classic Movies
1306,Comedies
1307,Independent Movies
1308,Children & Family Movies
1309,Classic Movies
1310,Dramas
1311,Dramas
1312,Faith & Spirituality
1313,Sports Movies
1314,Classic Movies
1315,Comedies
1316,Romantic Movies
1317,Dramas
1318,Horror Movies
1319,Music & Musicals
1320,Classic Movies
1321,Independent Movies
1322,Thrillers
1323,Children & Family Movies
1324,Faith & Spirituality
1325,Classic Movies
1326,Comedies
1327,Sports Movies
1328,Comedies
1329,Dramas
1330,Sports Movies
1331,Action & Adventure
1332,Romantic Movies
1333,Sci-Fi & Fantasy
1334,Classic & Cult TV
1335,TV Sci-Fi & Fantasy
1336,Comedies
1337,Cult Movies
1338,LGBTQ Movies
1339,Comedies
1340,Horror Movies
1341,Sci-Fi & Fantasy
1342,Action & Adventure
1343,Comedies
1344,Horror Movies
1345,Classic & Cult TV
1346,Crime TV Shows
1347,TV Dramas
1348,Action & Adventure
1349,Documentaries
1350,Sports Movies
1351,International Movies
1352,LGBTQ Movies
1353,Romantic Movies
1354,Cult Movies
1355,Dramas
1356,Thrillers
