movie_id,cast_id
1909,6908
1909,13049
1909,15052
1909,20186
1909,22771
1909,24560
1909,24974
1909,28322
1909,31780
1909,32199
1909,32394
1909,34629
1909,37464
1909,38079
1909,38179
1909,41976
1909,463
1909,614
1909,2298
1909,6907
1909,8413
1909,15053
1909,15627
1909,20088
1909,20933
1909,23614
1909,25802
1909,25842
1909,28235
1909,28324
1909,38069
1909,38865
1909,48549
1909,51535
1909,619
1909,5202
1909,8412
1909,8470
1909,15054
1909,15192
1909,16186
1909,21426
1909,25859
1909,29482
1909,31962
1909,41313
1909,41978
1909,42443
1909,51534
1909,54665
1910,2860
1910,15055
1910,47305
1910,54114
1910,61089
1910,7732
1910,8175
1910,15056
1910,27265
1910,28785
1910,37261
1910,37295
1910,43808
1910,51499
1910,8600
1910,10377
1910,15057
1910,35889
1910,36838
1910,42884
1910,53986
1910,57921
1910,60783
1910,213
1910,15058
1910,45382
1910,7737
1910,15059
1910,15060
1910,47410
1910,56243
1910,56573
1910,15061
1910,54117
1910,15062
1910,15063
1910,47619
1910,54161
1911,15064
1911,11211
1911,15065
1911,15066
1911,15067
1911,15068
1911,15069
1911,24493
1911,15070
1911,15071
1911,15072
1911,15073
1911,33882
1911,15074
1911,15075
1911,12678
1911,15076
1911,15077
1911,18753
1911,15078
1911,15079
1911,15080
1911,15081
1911,15082
1912,1
1913,2105
1913,15083
1913,18141
1913,23381
1913,26604
1913,44865
1913,48384
1913,52414
1913,59348
1913,61660
1913,13057
1913,15084
1913,15085
1913,31136
1913,3353
1913,11010
1913,15086
1913,61654
1913,3356
1913,15087
1913,15088
1913,15089
1913,19130
1913,15090
1913,15091
1913,19132
1913,31139
1913,9160
1913,15092
1913,16082
1913,16327
1913,17054
1913,32386
1913,44691
1914,1
1915,15093
1916,15094
1916,6645
1916,15095
1916,60308
1916,684
1916,15096
1916,2002
1916,15097
1916,15098
1916,15099
1916,15100
1916,15101
1916,15102
1916,15103
1917,15104
1917,15105
1918,15106
1918,35203
1918,15107
1918,29118
1918,31576
1918,15108
1918,15109
1918,15110
1918,15111
1918,15112
1918,15113
1919,600
